asn index file, asn id, asn name, ip
74,as16509,amazon.com, inc.,13.32.47.2
71,as16509,amazon.com, inc.,13.32.18.2
87,as16509,amazon.com, inc.,13.33.158.2
687,as16509,amazon.com, inc.,54.239.152.2
139,as16509,amazon.com, inc.,13.227.198.2
663,as16509,amazon.com, inc.,54.230.72.2
696,as16509,amazon.com, inc.,54.239.200.2
111,as16509,amazon.com, inc.,13.225.25.2
40,as16509,amazon.com, inc.,3.161.31.2
106,as16509,amazon.com, inc.,13.224.25.2
88,as16509,amazon.com, inc.,13.33.172.2
75,as16509,amazon.com, inc.,13.32.59.2
114,as16509,amazon.com, inc.,13.225.137.2
136,as16509,amazon.com, inc.,13.227.168.2
684,as16509,amazon.com, inc.,54.239.130.2
140,as16509,amazon.com, inc.,13.227.216.2
134,as16509,amazon.com, inc.,13.227.149.2
650,as16509,amazon.com, inc.,54.192.198.2
315,as16509,amazon.com, inc.,18.245.185.2
647,as16509,amazon.com, inc.,54.192.120.2
318,as16509,amazon.com, inc.,18.245.246.2
316,as16509,amazon.com, inc.,18.245.206.2
523,as16509,amazon.com, inc.,52.84.145.2
692,as16509,amazon.com, inc.,54.239.180.2
135,as16509,amazon.com, inc.,13.227.160.2
664,as16509,amazon.com, inc.,54.230.102.2
127,as16509,amazon.com, inc.,13.226.148.2
128,as16509,amazon.com, inc.,13.226.160.2
116,as16509,amazon.com, inc.,13.225.233.2
521,as16509,amazon.com, inc.,52.84.86.2
529,as16509,amazon.com, inc.,52.85.70.2
1167,as16509,amazon.com, inc.,99.86.32.2
77,as16509,amazon.com, inc.,13.32.68.2
710,as16509,amazon.com, inc.,54.240.167.2
108,as16509,amazon.com, inc.,13.224.105.2
1166,as16509,amazon.com, inc.,99.86.0.2
532,as16509,amazon.com, inc.,52.85.169.2
522,as16509,amazon.com, inc.,52.84.136.2
148,as16509,amazon.com, inc.,13.249.245.2
668,as16509,amazon.com, inc.,54.230.232.2
1173,as16509,amazon.com, inc.,99.86.249.2
117,as16509,amazon.com, inc.,13.225.249.2
816,as16509,amazon.com, inc.,65.9.19.2
695,as16509,amazon.com, inc.,54.239.195.2
525,as16509,amazon.com, inc.,52.84.219.2
142,as16509,amazon.com, inc.,13.227.230.2
620,as16509,amazon.com, inc.,52.222.128.2
1303,as16509,amazon.com, inc.,108.156.0.2
1170,as16509,amazon.com, inc.,99.86.153.2
646,as16509,amazon.com, inc.,54.192.16.2
131,as16509,amazon.com, inc.,13.227.21.2
648,as16509,amazon.com, inc.,54.192.148.2
531,as16509,amazon.com, inc.,52.85.101.2
92,as16509,amazon.com, inc.,13.35.0.2
90,as16509,amazon.com, inc.,13.33.189.2
120,as16509,amazon.com, inc.,13.226.77.2
651,as16509,amazon.com, inc.,54.192.248.2
112,as16509,amazon.com, inc.,13.225.105.2
694,as16509,amazon.com, inc.,54.239.192.2
689,as16509,amazon.com, inc.,54.239.162.2
115,as16509,amazon.com, inc.,13.225.169.2
661,as16509,amazon.com, inc.,54.230.6.2
524,as16509,amazon.com, inc.,52.84.154.2
667,as16509,amazon.com, inc.,54.230.155.2
138,as16509,amazon.com, inc.,13.227.192.2
137,as16509,amazon.com, inc.,13.227.181.2
130,as16509,amazon.com, inc.,13.227.5.2
1172,as16509,amazon.com, inc.,99.86.217.2
73,as16509,amazon.com, inc.,13.32.45.2
124,as16509,amazon.com, inc.,13.226.117.2
518,as16509,amazon.com, inc.,52.84.2.2
129,as16509,amazon.com, inc.,13.227.1.2
132,as16509,amazon.com, inc.,13.227.85.2
533,as16509,amazon.com, inc.,52.85.183.2
97,as16509,amazon.com, inc.,13.35.185.2
666,as16509,amazon.com, inc.,54.230.132.2
375,as14618,amazon.com, inc.,35.168.230.168
