asn index file, asn id, asn name, ip
228,as22773,cox communications inc.,68.106.122.6
228,as22773,cox communications inc.,68.106.122.5
228,as22773,cox communications inc.,68.106.122.8
228,as22773,cox communications inc.,68.106.122.7
482,as22773,cox communications inc.,98.173.239.17
611,as19994,rackspace hosting,166.78.121.19
771,as7018,at&t services, inc.,12.160.9.34
2906,as7018,at&t services, inc.,12.41.112.72
889,as7018,at&t services, inc.,12.176.85.214
189,as22773,cox communications inc.,184.179.114.124
560,as15395,rackspace ltd.,134.213.58.156
1372,as7018,at&t services, inc.,12.150.75.156
656,as19994,rackspace hosting,192.237.188.29
593,as19994,rackspace hosting,162.209.61.238
